name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365
Nice room with superb city view,Nuttee,Ratchathewi,13.75983,100.54134,Entire home/apt,1905,3,2,353
"Easy going landlord,easy place",Emy,Bang Na,13.66818,100.61674,Private room,1316,1,2,358
modern-style apartment in Bangkok,Familyroom,Bang Kapi,13.75232,100.62402,Private room,800,60,1,365
Spacious one bedroom at The Kris Condo Bldg. 3,Sirilak,Din Daeng,13.78823,100.57256,Private room,1286,7,1,323
Suite Room 3 at MetroPoint,Kasem,Bang Kapi,13.76872,100.63338,Private room,1905,1,3,365
NEw Pro!!  Bungalow Bkk Centre,Wimonpak,Bang Kho laen,13.69757,100.5288,Entire home/apt,1000,250,41,365
Condo with Chaopraya River View,Athitaya,Rat Burana,13.68556,100.49535,Private room,1558,3,1,365
1 chic bedroom apartment in BKK,Jiraporn,Chatu Chak,13.82925,100.56737,Entire home/apt,1461,1,1,365
"Batcave, Pool view, near Chatuchak",Nol,Chatu Chak,13.81693,100.56433,Entire home/apt,1558,3,1,365
Standard Room Decor do Hostel,Somsak,Khlong San,13.7204,100.50757,Private room,700,2,10,87
Sathorn Terrace Apartment(61),Tor,Bang Rak,13.71934,100.5176,Private room,1150,2,7,320
2BR apt in a cozy neighborhood,Jing,Phaya Thai,13.77486,100.54272,Entire home/apt,1893,15,1,356
Comfy bedroom near River pier & BTS  Taksin.,Tor,Sathon,13.71802,100.51539,Hotel room,1862,2,7,361
budget hotel bangkok near subway,Mimi,Din Daeng,13.77941,100.57383,Entire home/apt,910,2,2,365
"Deluxe Condo, Nana, Pool/GYM/Sauna",Natcha,Khlong Toei,13.71516,100.56806,Entire home/apt,1400,30,1,365
Luxury@swimpool/FreeWiFi/nearJJMkt,Srisuk,Phaya Thai,13.79152,100.53982,Private room,4156,1,1,365
Nice and Quiet condo near BTS Onnut,Piyakorn,Khlong Toei,13.70719,100.59936,Entire home/apt,1577,30,1,330
"24Flr- 1br Apt near JJ, MRT, BTS",Sue,Chatu Chak,13.82298,100.56484,Entire home/apt,122594,2,6,180
Central Bangkok 3 Bedroom Apartment,Henry,Khlong Toei,13.73378,100.56303,Entire home/apt,5680,28,1,334
The Duplex - Asoke- Luxury 92sqm,Timo,Vadhana,13.74668,100.56137,Entire home/apt,5034,21,1,349
"New, Stylish & Luxury Studio Condo",Pat,Sai Mai,13.9077,100.64473,Private room,1500,1,1,365
River View - Ivy Condo (1 Bedroom),Muay,Rat Burana,13.68568,100.49231,Private room,1385,30,1,365
Siamese Gioia on Sukhumvit 31,Chuchart,Vadhana,13.74444,100.57003,Private room,3775,30,1,364
Contemporary Modern Duplex-Thong Lo,Shine,Khlong Toei,13.72097,100.57823,Entire home/apt,2078,60,1,55
Pan Dao Condo 5 min from BTS On Nut,Dustin,Khlong Toei,13.70441,100.59968,Entire home/apt,1732,2,1,364
1 BR condominium center BKK +NETFLIX+55SQM,Sudhichai,Ratchathewi,13.75351,100.53308,Entire home/apt,2000,27,1,263
1 penthouse in central Bangkok,Anya,Ratchathewi,13.7547,100.53268,Entire home/apt,3082,1,1,365
"MetroPoint Suite Room, Near Airport",Kasem,Bang Kapi,13.76747,100.63287,Private room,1190,1,3,365
Boutique Rooms Near Bangkok Airport,Parinya,Lat Krabang,13.721868,100.771713,Private room,1329,1,1,349
BangLuang House1 @ Bangkok Thailand,วสวัตติ์,Bangkok Yai,13.73292,100.46413,Private room,2078,1,3,350
Studio near Chula University/Silom walk to MRT/BTS,Gael,Bang Rak,13.7285,100.52313,Entire home/apt,1176,7,2,95
กรองทองแมนชั่น (ลาดพร้าว 81),Penjit,Wang Thong Lang,13.78938,100.6134,Private room,600,1,1,365
Deluxe one Bedroom Condo w.Pool-GYM & Sauna 8-7,Gerd,Vadhana,13.74293,100.55603,Entire home/apt,1659,3,3,207
Beautiful 1 BR apartment @BTS Ari,Nattavut,Phaya Thai,13.77931,100.54262,Entire home/apt,1400,15,4,336
Urban Oasis in the heart of Bangkok,Apiradee,Sathon,13.72291,100.53759,Entire home/apt,5429,2,3,174
1Bed apt. near Chula University/Silom,Gael,Bang Rak,13.72733,100.52555,Entire home/apt,1843,7,2,156
Stay at the ROARING RATCHADA!,Frances,Huai Khwang,13.78118,100.58349,Private room,1316,1,1,365
"60 m2 apartment in Thong Lor, Bangkok",Danny,Vadhana,13.73224,100.57803,Entire home/apt,1870,4,1,331
ICONSIAM River view  on 49th floor,Weera,Bang Rak,13.72287,100.51678,Private room,2500,180,1,88
2br apt in Sukhumvit Asoke near BTS,Kanchuya,Vadhana,13.74464,100.55784,Entire home/apt,1732,90,1,365
Self catering cozy1-bed near BTS,Jirasak,Vadhana,13.7137,100.59637,Entire home/apt,1300,30,1,365
❂☀☀☀Perfect Escape☀☀☀Sunny Roof EnSuite☀☀☀☀,Evan,Sathon,13.72062,100.54707,Entire home/apt,1200,1,37,355
