date,province_thai,province_eng,region_thai,region_eng,variable,value
2019-01-01,กรุงเทพมหานคร,Bangkok,ภาคกลาง,central,ratio_tourist_stay,93.37
2019-01-01,ลพบุรี,Lopburi ,ภาคกลาง,central,ratio_tourist_stay,61.32
2019-01-01,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya ,ภาคกลาง,central,ratio_tourist_stay,73.37
2019-01-01,สระบุรี,Saraburi ,ภาคกลาง,central,ratio_tourist_stay,67.33
2019-01-01,ชัยนาท,Chainat ,ภาคกลาง,central,ratio_tourist_stay,79.31
2019-01-01,นครปฐม,Nakhon Pathom ,ภาคกลาง,central,ratio_tourist_stay,71.7
2019-01-01,สิงห์บุรี,Sing Buri ,ภาคกลาง,central,ratio_tourist_stay,64.65
2019-01-01,อ่างทอง,Ang Thong ,ภาคกลาง,central,ratio_tourist_stay,71.21
2019-01-01,นนทบุรี,Nonthaburi ,ภาคกลาง,central,ratio_tourist_stay,75.07
2019-01-01,ปทุมธานี,Pathum Thani ,ภาคกลาง,central,ratio_tourist_stay,60.77
2019-01-01,สมุทรปราการ,Samut Prakan ,ภาคกลาง,central,ratio_tourist_stay,72.5
2019-01-01,สมุทรสาคร,Samut Sakhon ,ภาคกลาง,central,ratio_tourist_stay,61.64
2019-01-01,ฉะเชิงเทรา,Chachoengsao ,ภาคตะวันออก,east,ratio_tourist_stay,59.4
2019-01-01,ราชบุรี,Ratchaburi ,ภาคกลาง,central,ratio_tourist_stay,75.09
2019-01-01,กาญจนบุรี,Kanchanaburi ,ภาคกลาง,central,ratio_tourist_stay,83.8
2019-01-01,สมุทรสงคราม,Samut Songkhram ,ภาคกลาง,central,ratio_tourist_stay,75.6
2019-01-01,สุพรรณบุรี,Suphan Buri ,ภาคกลาง,central,ratio_tourist_stay,89.43
2019-01-01,เพชรบุรี,Phetchaburi ,ภาคกลาง,central,ratio_tourist_stay,81.2
2019-01-01,ประจวบคีรีขันธ์,Prachuap Khiri Khan ,ภาคกลาง,central,ratio_tourist_stay,64.55
2019-01-01,ชลบุรี,Chonburi ,ภาคตะวันออก,east,ratio_tourist_stay,84.33
2019-01-01,จันทบุรี,Chanthaburi ,ภาคตะวันออก,east,ratio_tourist_stay,68.86
2019-01-01,ตราด,Trat ,ภาคตะวันออก,east,ratio_tourist_stay,80.48
2019-01-01,นครนายก,Nakhon Nayok ,ภาคตะวันออก,east,ratio_tourist_stay,68.39
2019-01-01,ปราจีนบุรี,Prachinburi ,ภาคตะวันออก,east,ratio_tourist_stay,68.57
2019-01-01,ระยอง,Rayong ,ภาคตะวันออก,east,ratio_tourist_stay,70.11
2019-01-01,สระแก้ว,Sa Kaeo ,ภาคตะวันออก,east,ratio_tourist_stay,56.69
2019-01-01,ภูเก็ต,Phuket ,ภาคใต้,south,ratio_tourist_stay,86.05
